node_id,lat,long
89825268,36.6529180,-121.8091930
89825270,36.6529180,-121.8090570
553019995,36.6528899,-121.8061584
553019993,36.6529244,-121.8095476
3695785922,36.6548226,-121.8078292
3695787026,36.6557320,-121.8078413
3695787027,36.6558003,-121.8077824
3695787028,36.6558370,-121.8072193
3695787029,36.6558388,-121.8077082
3695787030,36.6558440,-121.8070491
3695787032,36.6558878,-121.8069203
3695787033,36.6559088,-121.8068352
3695787034,36.6559123,-121.8064598
3695787035,36.6559168,-121.8066694
89633504,36.6613970,-121.8155270
89799876,36.6613810,-121.8143430
89899551,36.6613810,-121.8149860
611827057,36.6614182,-121.8159275
1297456678,36.6614138,-121.8158434
89875006,36.6613860,-121.8091980
553020003,36.6612250,-121.8055540
553020017,36.6611820,-121.8052740
89874994,36.6578303,-121.8092366
89898066,36.6578223,-121.8061079
553020001,36.6613397,-121.8062990
553020031,36.6614047,-121.8070162
553020032,36.6613875,-121.8066759
1824591891,36.6528768,-121.8013275
89798130,36.6510533,-121.8030743
89808871,36.6547883,-121.8010125
89808874,36.6547833,-121.7988385
89890549,36.6515304,-121.8028500
89890551,36.6518588,-121.8027760
89890553,36.6526474,-121.8023978
89894030,36.6558640,-121.8027230
90005095,36.6531503,-121.8022774
90005097,36.6533926,-121.8023080
90005099,36.6535960,-121.8023530
90005100,36.6541860,-121.8026720
90005102,36.6544130,-121.8027220
553020010,36.6528824,-121.8023056
553020011,36.6528710,-121.8010790
553020012,36.6528790,-121.8024620
553020014,36.6571740,-121.7987410
775112984,36.6547902,-121.8013043
1647163322,36.6557259,-121.8027229
553020020,36.6559396,-121.7988221
89808869,36.6547992,-121.8027373
89819055,36.6528785,-121.8007106
2540005330,36.6523931,-121.7988053
2540005337,36.6522252,-121.7998591
2540005348,36.6520293,-121.8001007
2540005352,36.6524059,-121.7998593
2540005360,36.6523942,-121.7988965
2540005370,36.6522209,-121.7988105
2540005374,36.6520274,-121.7988166
2540005375,36.6520290,-121.7998589
2540005378,36.6528647,-121.7989017
2612969713,36.6558609,-121.8040075
2612969714,36.6548034,-121.8039968
2612969715,36.6567349,-121.8027228
2612969716,36.6567349,-121.8020889
2612969717,36.6566212,-121.8017561
2612969718,36.6566064,-121.8017007
2612969719,36.6566015,-121.8016144
2612969720,36.6566114,-121.8005853
2612969721,36.6566114,-121.8005360
2612969722,36.6565817,-121.8004868
2612969723,36.6565125,-121.8003758
2612969724,36.6564927,-121.8003081
2612969725,36.6564729,-121.7989216
3695787031,36.6558860,-121.8049867
